Name,CAS,molarweight,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers,,
tridecanal,10486-19-8,198.198,12.15,(17.94),1.04,1.04,-,-,16,(19),5 ,5 ,-,-,,
methane,74-82-8,16.031,0.59,(0.72),0.53,0.48,0.68,(2.65),1211,(1222),1126 ,856 ,270 ,(4317),,
ethane,74-84-0,30.047,0.85,(3.65),1.10,1.08,1.15,(29.08),1316,(1372),609 ,448 ,161 ,(4034),,
propane,74-98-6,44.063,0.80,(2.13),0.49,0.51,0.32,(13.67),1999,(2070),2658 ,2388 ,270 ,(2199),,
butane,106-97-8,58.078,0.73,(2.14),0.34,0.37,0.25,(3.57),1155,(1218),1226 ,945 ,281 ,(1172),,
2-methylpropane,75-28-5,58.078,0.72,(2.96),0.49,0.54,0.26,(3.89),1258,(1327),1306 ,1085 ,221 ,(521),,
2-methylbutane,78-78-4,72.094,0.83,(1.17),0.45,0.50,0.32,(7.83),496,(507),351 ,257 ,94 ,(702),,
"2,2-dimethylpropane",463-82-1,72.094,0.41,-,0.60,0.76,0.17,(3.89),269,-,144 ,106 ,38 ,(549),,
pentane,109-66-0,72.094,1.06,(1.42),0.57,0.61,0.26,(5.67),1038,(1056),1183 ,1030 ,153 ,(2540),,
3-methylpentane,96-14-0,86.110,0.36,-,0.52,0.52,-,-,127,-,387 ,387 ,-,-,,
"2,2-dimethylbutane",75-83-2,86.110,0.38,-,0.55,0.55,-,(6.09),88,-,174 ,174 ,-,(25),,
"2,3-dimethylbutane",79-29-8,86.110,0.58,-,0.72,0.77,0.09,(7.09),136,-,424 ,393 ,31 ,(27),,
hexane,110-54-3,86.110,0.73,(1.06),0.48,0.48,0.70,(3.78),1950,(1983),2922 ,2818 ,104 ,(325),,
2-methylpentane,107-83-5,86.110,0.70,(1.02),0.58,0.52,0.81,(7.47),207,(210),260 ,210 ,50 ,(15),,
"3,3-dimethylpentane",562-49-2,100.125,0.63,-,1.69,0.45,1.94,-,167,-,36 ,6 ,30 ,-,,
2-methylhexane,591-76-4,100.125,0.65,(0.86),0.38,0.28,0.44,-,117,(118),50 ,20 ,30 ,-,,
3-ethylpentane,617-78-7,100.125,0.46,-,0.49,0.70,0.38,-,126,-,45 ,15 ,30 ,-,,
3-methylhexane,589-34-4,100.125,1.03,-,1.03,0.53,1.14,-,110,-,34 ,6 ,28 ,-,,
"2,2-dimethylpentane",590-35-2,100.125,0.51,-,0.57,0.55,0.59,-,112,-,58 ,29 ,29 ,-,,
"2,2,3-trimethylbutane",464-06-2,100.125,0.48,-,0.82,0.60,0.95,-,144,-,44 ,16 ,28 ,-,,
"2,4-dimethylpentane",108-08-7,100.125,0.93,-,1.11,1.25,0.50,-,112,-,246 ,201 ,45 ,-,,
"2,3-dimethylpentane",565-59-3,100.125,0.79,-,1.23,1.38,0.70,-,177,-,220 ,172 ,48 ,-,,
heptane,142-82-5,100.125,0.68,(1.02),0.46,0.46,0.74,(3.88),1944,(1968),5838 ,5734 ,104 ,(366),,
4-methylheptane,589-53-7,114.141,0.62,-,0.41,0.33,0.44,-,97,-,38 ,10 ,28 ,-,,
"2,2-dimethylhexane",590-73-8,114.141,0.54,-,0.25,0.07,0.27,-,96,-,29 ,3 ,26 ,-,,
"2,5-dimethylhexane",592-13-2,114.141,1.11,-,0.22,0.07,0.26,-,201,-,61 ,12 ,49 ,-,,
"2,4-dimethylhexane",589-43-5,114.141,0.68,(1.01),0.99,0.80,1.05,-,112,(113),41 ,10 ,31 ,-,,
"2,2,4-trimethylpentane",540-84-1,114.141,0.90,(1.80),0.71,0.72,0.58,(32.42),780,(799),975 ,912 ,63 ,(117),,
"2,3-dimethylhexane",584-94-1,114.141,0.59,-,0.31,0.06,0.33,-,114,-,33 ,3 ,30 ,-,,
"2,3,4-trimethylpentane",565-75-3,114.141,0.57,-,1.29,1.46,0.23,-,191,-,223 ,193 ,30 ,-,,
2-methylheptane,592-27-8,114.141,0.80,-,0.76,0.90,0.32,-,147,-,115 ,87 ,28 ,-,,
"2,2,3-trimethylpentane",564-02-3,114.141,0.50,(0.66),1.11,0.53,1.31,-,99,(100),40 ,10 ,30 ,-,,
"3,3-dimethylhexane",563-16-6,114.141,0.58,-,2.30,0.29,2.50,-,80,-,33 ,3 ,30 ,-,,
3-methylheptane,589-81-1,114.141,0.65,(0.71),0.45,0.43,0.46,-,163,(164),56 ,26 ,30 ,-,,
3-ethyl-2-methylpentane,609-26-7,114.141,0.54,-,1.46,0.35,1.66,-,116,-,33 ,5 ,28 ,-,,
3-ethyl-3-methylpentane,1067-08-9,114.141,0.43,-,0.39,0.29,0.45,-,77,-,25 ,9 ,16 ,-,,
"2,3,3-trimethylpentane",560-21-4,114.141,0.74,-,0.38,0.16,0.46,-,102,-,43 ,11 ,32 ,-,,
octane,111-65-9,114.141,0.89,(1.19),0.43,0.43,0.39,(8.11),1029,(1042),3017 ,2930 ,87 ,(45),,
3-ethylhexane,619-99-8,114.141,0.57,-,0.88,0.29,1.02,-,99,-,37 ,7 ,30 ,-,,
"3,4-dimethylhexane",583-48-2,114.141,0.53,-,0.28,0.17,0.33,-,112,-,39 ,11 ,28 ,-,,
"2,4,4-trimethylhexane",16747-30-1,128.157,0.08,-,0.02,0.02,-,-,19,-,12 ,12 ,-,-,,
"2,3-dimethylheptane",3074-71-3,128.157,0.73,-,0.11,0.11,-,-,36,-,19 ,19 ,-,-,,
"2,2,3,4-tetramethylpentane",1186-53-4,128.157,0.09,-,0.03,0.03,-,-,23,-,7 ,7 ,-,-,,
"2,3,3,4-tetramethylpentane",16747-38-9,128.157,0.11,-,0.04,0.04,-,-,22,-,14 ,14 ,-,-,,
"3,3-diethylpentane",1067-20-5,128.157,0.68,-,0.69,0.69,-,-,39,-,42 ,42 ,-,-,,
"2,2,4,4-tetramethylpentane",1070-87-7,128.157,0.07,-,0.04,0.04,-,-,52,-,8 ,8 ,-,-,,
"2,2,3,3-tetramethylpentane",7154-79-2,128.157,0.04,-,0.03,0.03,-,-,24,-,8 ,8 ,-,-,,
"2,2,5-trimethylhexane",3522-94-9,128.157,2.01,-,0.30,0.28,0.32,-,87,-,30 ,15 ,15 ,-,,
nonane,111-84-2,128.157,0.92,(1.56),0.85,0.85,0.89,-,420,(432),1795 ,1784 ,11 ,-,,
2-methyloctane,3221-61-2,128.157,1.11,(2.50),0.14,0.14,-,-,42,(43),39 ,39 ,-,-,,
"2,2,5,5-tetramethylhexane",1071-81-4,142.172,0.92,(6.19),0.07,0.07,-,-,6,(7),8 ,8 ,-,-,,
"2,7-dimethyloctane",1072-16-8,142.172,1.90,(3.42),0.28,0.28,-,-,50,(55),31 ,31 ,-,-,,
decane,124-18-5,142.172,1.36,(4.32),0.35,0.35,0.44,(9.46),716,(773),11903 ,11842 ,61 ,(50),,
"2,6-dimethyloctane",2051-30-1,142.172,4.69,-,0.40,0.40,-,-,10,-,12 ,12 ,-,-,,
3-methyldecane,13151-34-3,156.188,2.31,-,0.06,0.06,-,-,11,-,4 ,4 ,-,-,,
undecane,1120-21-4,156.188,1.33,(2.09),4.93,4.94,0.01,-,133,(141),640 ,639 ,1 ,-,,
2-methyldecane,6975-98-0,156.188,2.36,(8.18),0.50,0.50,-,-,41,(47),28 ,28 ,-,-,,
"2,3-dimethylnonane",2884-06-2,156.188,2.60,-,0.08,0.08,-,-,15,-,10 ,10 ,-,-,,
"2,3-dimethyldecane",17312-44-6,170.203,2.98,-,0.11,0.11,-,-,16,-,8 ,8 ,-,-,,
3-methylundecane,1002-43-3,170.203,2.89,(3.56),0.08,0.08,-,-,12,(13),22 ,22 ,-,-,,
dodecane,112-40-3,170.203,1.86,(5.57),0.39,0.40,0.38,-,397,(456),1526 ,1493 ,33 ,-,,
2-methylundecane,7045-71-8,170.203,2.36,-,0.03,0.03,-,-,19,-,6 ,6 ,-,-,,
3-methyldodecane,17312-57-1,184.219,3.05,(4.24),0.07,0.07,-,-,13,(14),9 ,9 ,-,-,,
"2,3-dimethylundecane",17312-77-5,184.219,2.44,-,0.30,0.30,-,-,11,-,6 ,6 ,-,-,,
tridecane,629-50-5,184.219,2.16,(4.43),6.67,6.69,0.02,-,140,(155),338 ,337 ,1 ,-,,
2-methyldodecane,1560-97-0,184.219,2.72,-,0.06,0.06,-,-,19,-,9 ,9 ,-,-,,
2-methyltridecane,1560-96-9,198.235,3.32,-,0.03,0.03,-,-,15,-,5 ,5 ,-,-,,
3-methyltridecane,6418-41-3,198.235,3.73,(4.40),0.08,0.08,-,-,15,(16),8 ,8 ,-,-,,
"2,3-dimethyldodecane",6117-98-2,198.235,3.62,-,0.27,0.27,-,-,17,-,13 ,13 ,-,-,,
tetradecane,629-59-4,198.235,1.55,(36.78),6.29,6.30,0.01,-,265,(291),801 ,800 ,1 ,-,,
pentadecane,629-62-9,212.250,2.32,(13.82),7.87,7.95,0.05,-,69,(80),103 ,102 ,1 ,-,,
"2,2,4,4,6,8,8-heptamethylnonane",4390-04-9,226.266,4.37,(4.77),0.90,0.90,-,-,20,(21),284 ,284 ,-,-,,
