Name,CAS,molarweight,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers,,
"1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene",493-01-6,138.141,3.69,(10.45),0.56,0.56,-,-,137,(172),174 ,174 ,-,-,,
"1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene",493-02-7,138.141,1.46,(10.29),0.56,0.56,-,-,156,(188),189 ,189 ,-,-,,
tert-butylcyclohexane,3178-22-1,140.157,1.06,(1.37),0.50,0.50,-,-,33,(34),23 ,23 ,-,-,,
butylcyclohexane,1678-93-9,140.157,1.21,(1.54),0.13,0.13,-,-,57,(58),109 ,109 ,-,-,,
butan-2-ylcyclohexane,7058-01-7,140.157,0.83,(12.24),0.56,0.56,-,-,47,(50),17 ,17 ,-,-,,
2-methylpropylcyclohexane,1678-98-4,140.157,1.14,-,0.04,0.04,-,-,27,-,15 ,15 ,-,-,,
"1,1-diethylcyclohexane",78-01-3,140.157,4.25,-,1.36,1.36,-,-,5,-,4 ,4 ,-,-,,
pentylcyclohexane,4292-92-6,154.172,1.93,-,0.13,0.13,-,-,28,-,40 ,40 ,-,-,,
"1,3-dimethyladamantane",702-79-4,164.157,0.96,(9.44),0.72,0.82,0.24,-,68,(77),58 ,48 ,10 ,-,,
cyclohexylcyclohexane,92-51-3,166.172,3.12,(5.60),0.46,0.46,-,-,63,(74),102 ,102 ,-,-,,
dibenzofuran,132-64-9,168.058,2.78,(8.05),0.65,0.65,-,-,125,(157),44 ,44 ,-,-,,
decylcyclohexane,1795-16-0,224.250,2.14,(2.73),0.14,0.14,-,-,28,(29),35 ,35 ,-,-,,
molecular nitrogen,7727-37-9,28.006,0.97,(1.87),1.69,1.94,0.64,(7.01),696,(726),619 ,503 ,116 ,(3467),,
molecular oxygen,7782-44-7,31.990,1.33,(2.19),0.57,0.56,0.72,(8.41),964,(1026),1697 ,1640 ,57 ,(1479),,
molecular fluorine,7782-41-4,37.997,0.85,(1.44),0.56,0.60,0.41,(2.11),231,(234),495 ,400 ,95 ,(621),,
argon,7440-37-1,39.962,1.09,(1.11),0.46,0.44,0.57,(6.33),647,(648),917 ,788 ,129 ,(2935),,
molecular chlorine,7782-50-5,69.938,2.20,(2.31),0.50,0.49,0.58,(1.41),216,(218),250 ,210 ,40 ,(42),,
krypton,7439-90-9,83.912,1.18,(1.42),0.45,0.45,0.40,(2.56),441,(448),741 ,662 ,79 ,(777),,
xenon,7440-63-3,131.904,1.01,(1.06),0.78,0.76,0.95,(6.54),240,(241),667 ,589 ,78 ,(1047),,
molecular bromine,7726-95-6,157.837,1.45,-,0.05,0.05,-,(1.34),219,-,7 ,7 ,-,(24),,
molecular iodine,7553-56-2,253.809,1.34,-,0.40,0.40,-,-,104,-,12 ,12 ,-,-,,
methyl formate,107-31-3,60.021,0.97,(1.09),0.47,0.34,0.55,(10.79),418,(421),100 ,40 ,60 ,(27),,
oxetan-2-one,57-57-8,72.021,2.03,(2.36),0.19,0.19,-,-,48,(50),4 ,4 ,-,-,,
ethyl formate,109-94-4,74.037,1.04,(1.11),0.61,0.68,0.20,(7.70),396,(397),124 ,108 ,16 ,(19),,
methyl acetate,79-20-9,74.037,1.02,(1.16),0.52,0.53,0.39,(8.81),858,(860),435 ,415 ,20 ,(25),,
ethenyl acetate,108-05-4,86.037,1.73,(2.39),0.48,0.36,1.14,-,256,(263),62 ,52 ,10 ,-,,
oxolan-2-one,96-48-0,86.037,5.65,(19.64),1.49,1.50,1.16,-,194,(243),832 ,826 ,6 ,-,,
methyl prop-2-enoate,96-33-3,86.037,1.67,(3.47),0.14,0.14,-,-,75,(83),113 ,113 ,-,-,,
ethyl acetate,141-78-6,88.052,0.92,(1.15),0.42,0.43,0.30,(7.04),1131,(1142),803 ,763 ,40 ,(53),,
propyl formate,110-74-7,88.052,1.35,(1.40),1.57,2.02,0.35,(10.01),442,(444),139 ,102 ,37 ,(28),,
methyl propanoate,554-12-1,88.052,2.08,(2.11),0.98,1.06,0.21,(9.60),452,(453),197 ,180 ,17 ,(31),,
"furan-2,5-dione",108-31-6,98.000,3.50,(5.65),0.17,0.17,-,-,45,(50),27 ,27 ,-,-,,
ethenyl propanoate,105-38-4,100.052,0.70,-,0.31,0.31,-,-,39,-,11 ,11 ,-,-,,
prop-1-en-2-yl acetate,108-22-5,100.052,3.04,(3.31),0.66,0.66,-,-,60,(61),18 ,18 ,-,-,,
prop-2-enyl acetate,591-87-7,100.052,3.27,(4.30),0.04,0.04,-,-,18,(19),10 ,10 ,-,-,,
ethyl prop-2-enoate,140-88-5,100.052,2.73,(3.52),0.09,0.09,-,-,131,(135),99 ,99 ,-,-,,
5-methyloxolan-2-one,108-29-2,100.052,1.99,(5.82),0.22,0.22,-,-,176,(191),157 ,157 ,-,-,,
methyl 2-methylprop-2-enoate,80-62-6,100.052,2.33,(5.04),0.51,0.51,-,-,146,(159),176 ,176 ,-,-,,
acetyl acetate,108-24-7,102.032,3.09,(4.63),0.23,0.23,-,-,146,(157),67 ,67 ,-,-,,
2-methylpropyl formate,542-55-2,102.068,1.73,(1.78),0.30,0.30,-,-,121,(122),28 ,28 ,-,-,,
methyl butanoate,623-42-7,102.068,1.63,(1.68),0.35,0.35,0.37,(11.31),545,(546),347 ,279 ,68 ,(32),,
methyl 2-methylpropanoate,547-63-7,102.068,1.67,(1.84),1.12,1.12,-,(10.60),133,(135),44 ,44 ,-,(32),,
ethyl propanoate,105-37-3,102.068,1.36,(1.45),0.43,0.43,0.38,(9.25),505,(509),381 ,349 ,32 ,(31),,
butyl formate,592-84-7,102.068,1.25,(1.39),0.31,0.32,0.00,-,222,(224),77 ,76 ,1 ,-,,
propyl acetate,109-60-4,102.068,1.49,(1.59),0.38,0.38,0.37,(10.54),885,(891),451 ,394 ,57 ,(32),,
propan-2-yl acetate,108-21-4,102.068,0.89,-,0.42,0.42,-,(3.60),162,-,146 ,146 ,-,(11),,
methyl 2-hydroxypropanoate,547-64-8,104.047,4.39,(12.86),0.20,0.20,-,-,45,(57),171 ,171 ,-,-,,
"oxane-2,6-dione",108-55-4,114.032,2.91,(7.40),0.02,0.02,-,-,7,(8),3 ,3 ,-,-,,
ethyl 2-methylprop-2-enoate,97-63-2,114.068,3.66,(17.27),0.08,0.08,-,-,28,(35),16 ,16 ,-,-,,
methyl 3-oxobutanoate,105-45-3,116.047,7.73,(17.14),0.23,0.23,-,-,105,(132),50 ,50 ,-,-,,
tert-butyl acetate,540-88-5,116.084,2.60,(78.87),0.13,0.13,-,-,102,(123),27 ,27 ,-,-,,
2-methylpropyl acetate,110-19-0,116.084,2.81,(3.15),1.30,1.36,0.42,-,283,(288),103 ,97 ,6 ,-,,
butan-2-yl acetate,105-46-4,116.084,2.68,(4.45),0.13,0.13,-,-,112,(131),28 ,28 ,-,-,,
butyl acetate,123-86-4,116.084,0.90,(1.26),0.37,0.38,0.16,-,783,(798),696 ,675 ,21 ,-,,
ethyl butanoate,105-54-4,116.084,1.41,(1.51),0.46,0.46,0.25,-,336,(338),385 ,368 ,17 ,-,,
propyl propanoate,106-36-5,116.084,0.79,-,0.69,0.69,0.00,-,383,-,267 ,266 ,1 ,-,,
ethyl 2-methylpropanoate,97-62-1,116.084,1.39,-,0.13,0.13,-,-,65,-,33 ,33 ,-,-,,
pentyl formate,638-49-3,116.084,1.30,(2.57),0.47,0.48,0.00,-,62,(66),78 ,77 ,1 ,-,,
methyl 2-hydroxy-2-methylpropanoate,2110-78-3,118.063,6.01,(20.87),0.79,0.79,-,-,73,(92),4 ,4 ,-,-,,
ethyl 2-hydroxypropanoate,97-64-3,118.063,2.36,(6.66),0.39,0.39,0.20,-,104,(131),237 ,235 ,2 ,-,,
butan-2-yl prop-2-enoate,2998-08-5,128.084,5.18,-,0.90,0.90,-,-,13,-,4 ,4 ,-,-,,
butyl prop-2-enoate,141-32-2,128.084,2.22,(6.15),0.06,0.06,-,-,70,(88),101 ,101 ,-,-,,
cyclohexyl formate,4351-54-6,128.084,1.99,(2.55),0.17,0.17,-,-,21,(22),10 ,10 ,-,-,,
ethyl 3-oxobutanoate,141-97-9,130.063,11.08,(22.08),0.50,0.50,-,-,56,(71),86 ,86 ,-,-,,
propanoyl propanoate,123-62-6,130.063,2.95,(6.59),0.04,0.04,-,-,26,(27),13 ,13 ,-,-,,
hexyl formate,629-33-4,130.099,1.66,(2.56),0.73,0.74,0.01,-,19,(20),91 ,90 ,1 ,-,,
ethyl 3-methylbutanoate,108-64-5,130.099,1.15,(3.31),0.53,0.53,-,-,32,(35),149 ,149 ,-,-,,
propyl butanoate,105-66-8,130.099,1.11,-,0.43,0.45,0.02,-,232,-,21 ,20 ,1 ,-,,
3-methylbutyl acetate,123-92-2,130.099,1.99,(5.14),0.42,0.42,-,-,159,(181),289 ,289 ,-,-,,
propyl 2-methylpropanoate,644-49-5,130.099,1.39,-,0.03,0.03,-,-,30,-,11 ,11 ,-,-,,
pentyl acetate,628-63-7,130.099,4.03,(9.67),0.28,0.29,0.18,-,154,(182),348 ,320 ,28 ,-,,
"ethyl 2,2-dimethylpropanoate",3938-95-2,130.099,1.03,(1.73),0.43,0.43,-,-,35,(36),14 ,14 ,-,-,,
butyl propanoate,590-01-2,130.099,1.25,(1.95),0.67,0.67,0.00,-,296,(300),253 ,252 ,1 ,-,,
dimethyl propanedioate,108-59-8,132.042,3.28,(59.31),0.62,0.62,-,-,82,(103),33 ,33 ,-,-,,
1-methoxypropan-2-yl acetate,108-65-6,132.079,1.58,(2.96),0.11,0.11,-,-,109,(118),10 ,10 ,-,-,,
2-ethoxyethyl acetate,111-15-9,132.079,1.42,(2.21),0.48,0.58,0.31,-,77,(80),30 ,19 ,11 ,-,,
phenyl acetate,122-79-2,136.052,3.23,(4.09),0.14,0.14,-,-,53,(56),16 ,16 ,-,-,,
butyl 2-methylprop-2-enoate,97-88-1,142.099,3.00,(9.42),0.47,0.47,-,-,36,(43),126 ,126 ,-,-,,
cyclohexyl acetate,622-45-7,142.099,3.73,(8.51),0.25,0.25,-,-,63,(67),33 ,33 ,-,-,,
tert-butyl 2-methylprop-2-enoate,585-07-9,142.099,4.60,(13.45),3.64,3.64,-,-,8,(10),5 ,5 ,-,-,,
dimethyl (z)-but-2-enedioate,624-48-6,144.042,2.27,(30.24),0.25,0.25,-,-,35,(44),35 ,35 ,-,-,,
ethyl 4-oxopentanoate,539-88-8,144.079,2.65,(6.77),0.24,0.24,-,-,43,(54),148 ,148 ,-,-,,
butyl butanoate,109-21-7,144.115,0.82,(2.48),1.79,1.82,0.01,-,185,(200),65 ,64 ,1 ,-,,
hexyl acetate,142-92-7,144.115,1.96,(2.78),0.24,0.25,0.00,-,89,(90),102 ,101 ,1 ,-,,
heptyl formate,112-23-2,144.115,1.48,(2.17),0.93,0.94,0.02,-,21,(22),66 ,65 ,1 ,-,,
2-methylpropyl2-methylpropanoate,97-85-8,144.115,2.88,(3.36),0.54,0.56,0.02,-,109,(116),25 ,24 ,1 ,-,,
dimethyl butanedioate,106-65-0,146.058,2.68,(8.17),0.19,0.19,-,-,122,(153),42 ,42 ,-,-,,
2-acetyloxyethyl acetate,111-55-7,146.058,5.49,(20.03),0.51,0.51,-,-,94,(118),38 ,38 ,-,-,,
1-acetyloxyethyl acetate,542-10-9,146.058,6.43,(15.86),0.14,0.14,-,-,70,(88),9 ,9 ,-,-,,
ethyl 3-ethoxypropanoate,763-69-9,146.094,5.49,(7.25),0.51,0.51,-,-,20,(22),11 ,11 ,-,-,,
methyl 2-hydroxybenzoate,119-36-8,152.047,2.75,(7.11),0.63,0.70,0.15,-,171,(194),140 ,123 ,17 ,-,,
2-methylpropanoyl2-methylpropanoate,97-72-3,158.094,2.56,(4.44),0.18,0.18,-,-,10,(12),5 ,5 ,-,-,,
butanoyl butanoate,106-31-0,158.094,6.59,(13.68),0.16,0.16,-,-,12,(15),12 ,12 ,-,-,,
pentyl butanoate,540-18-1,158.131,2.35,(5.60),1.54,1.61,0.07,-,11,(14),22 ,21 ,1 ,-,,
heptyl acetate,112-06-1,158.131,1.08,(6.48),0.40,0.41,0.01,-,40,(49),36 ,35 ,1 ,-,,
butyl pentanoate,591-68-4,158.131,3.50,(21.59),10.98,11.08,0.03,-,11,(14),114 ,113 ,1 ,-,,
octyl formate,112-32-3,158.131,1.15,(5.34),2.22,2.24,0.03,-,21,(25),85 ,84 ,1 ,-,,
methyl octanoate,111-11-5,158.131,2.09,(8.69),0.39,0.39,0.21,-,192,(215),394 ,388 ,6 ,-,,
3-methylbutyl butanoate,106-27-4,158.131,2.44,(6.57),1.50,1.50,-,-,52,(65),84 ,84 ,-,-,,
dimethyl pentanedioate,1119-40-0,160.074,3.15,(10.66),0.14,0.14,-,-,103,(121),19 ,19 ,-,-,,
diethyl propanedioate,105-53-3,160.074,6.48,(7.25),0.09,0.09,-,-,221,(228),70 ,70 ,-,-,,
2-butoxyethyl acetate,112-07-2,160.110,3.46,(5.94),0.50,0.50,-,-,25,(29),20 ,20 ,-,-,,
diethyl (z)-but-2-enedioate,141-05-9,172.074,3.89,(8.65),4.93,4.93,-,-,34,(40),18 ,18 ,-,-,,
octyl acetate,112-14-1,172.146,3.54,(6.09),0.41,0.43,0.02,-,33,(37),17 ,16 ,1 ,-,,
3-methylbutyl3-methylbutanoate,659-70-1,172.146,5.95,-,0.05,0.05,-,-,6,-,4 ,4 ,-,-,,
2-ethylhexyl acetate,103-09-3,172.146,7.43,(10.69),1.48,1.45,2.28,-,52,(58),141 ,136 ,5 ,-,,
ethyl octanoate,106-32-1,172.146,2.99,(8.42),0.24,0.25,0.00,-,87,(95),313 ,312 ,1 ,-,,
diethyl butanedioate,123-25-1,174.089,2.37,(3.73),0.32,0.32,-,-,120,(131),243 ,243 ,-,-,,
2-(2-ethoxyethoxy)ethylacetate,112-15-2,176.105,3.75,(11.38),0.10,0.10,-,-,36,(45),15 ,15 ,-,-,,
2-ethylhexyl prop-2-enoate,103-11-7,184.146,3.92,(7.05),0.06,0.06,-,-,32,(37),6 ,6 ,-,-,,
methyl decanoate,110-42-9,186.162,1.28,(1.82),0.31,0.31,-,-,455,(466),244 ,244 ,-,-,,
nonyl acetate,143-13-5,186.162,6.18,(17.46),0.91,0.91,-,-,20,(25),4 ,4 ,-,-,,
"1,3-dioxo-2-benzofuran-5-carboxylic acid",552-30-7,192.006,2.34,(5.99),0.43,0.43,-,-,5,(7),5 ,5 ,-,-,,
"dimethylcyclohexane-1,4-dicarboxylate",94-60-0,200.105,2.50,(11.89),0.15,0.15,-,-,6,(8),4 ,4 ,-,-,,
decyl acetate,112-17-4,200.178,2.33,(5.41),0.04,0.04,-,-,39,(46),11 ,11 ,-,-,,
ethyl decanoate,110-38-3,200.178,2.02,(4.74),0.36,0.36,-,-,62,(70),231 ,231 ,-,-,,
methyl dodecanoate,111-82-0,214.193,5.79,(6.67),0.41,0.41,-,-,238,(251),625 ,625 ,-,-,,
"2,3-diacetyloxypropyl acetate",102-76-1,218.079,8.82,(16.37),0.69,0.69,-,-,131,(148),131 ,131 ,-,-,,
ethyl dodecanoate,106-33-2,228.209,4.04,(10.84),0.42,0.42,-,-,72,(90),554 ,554 ,-,-,,
methyl tetradecanoate,124-10-7,242.225,2.63,(4.40),0.38,0.38,-,-,340,(385),305 ,305 ,-,-,,
ethyl tetradecanoate,124-06-1,256.240,2.81,(7.17),0.54,0.54,-,-,77,(87),374 ,374 ,-,-,,
methyl hexadecanoate,112-39-0,270.256,3.02,(6.36),0.42,0.42,-,-,374,(431),143 ,143 ,-,-,,
propan-2-yl tetradecanoate,110-27-0,270.256,0.92,-,0.11,0.11,-,-,22,-,9 ,9 ,-,-,,
ethyl hexadecanoate,628-97-7,284.272,4.62,(24.63),0.15,0.15,-,-,55,(68),85 ,85 ,-,-,,
"methyl (9z,12z)-octadeca-9,12-dienoate",112-63-0,294.256,8.10,(29.01),0.55,0.55,-,-,63,(79),425 ,425 ,-,-,,
methyl (z)-octadec-9-enoate,112-62-9,296.272,3.11,(12.73),0.53,0.53,-,-,136,(171),332 ,332 ,-,-,,
methyl octadecanoate,112-61-8,298.287,3.07,(7.41),0.05,0.05,-,-,296,(370),38 ,38 ,-,-,,
"ethyl (9z,12z)-octadeca-9,12-dienoate",544-35-4,308.272,8.47,(12.37),0.11,0.11,-,-,29,(32),34 ,34 ,-,-,,
ethyl (z)-octadec-9-enoate,111-62-6,310.287,8.94,(15.41),0.78,0.78,-,-,43,(50),297 ,297 ,-,-,,
dibutyl decanedioate,109-43-3,314.246,2.71,(15.98),0.66,0.66,-,-,38,(48),17 ,17 ,-,-,,
methyl icosanoate,1120-28-1,326.318,3.30,(9.33),0.13,0.13,-,-,35,(44),11 ,11 ,-,-,,
methyl (z)-docos-13-enoate,1120-34-9,352.334,13.57,(25.42),0.30,0.30,-,-,15,(16),23 ,23 ,-,-,,
2-[2-[2-(2-ethylhexanoyloxy)ethoxy]ethoxy]ethyl 2-ethylhexanoate,94-28-0,402.298,5.33,-,0.76,0.76,-,-,7,-,3 ,3 ,-,-,,
"2,3-di(decanoyloxy)propyldecanoate",621-71-6,554.455,7.92,(9.77),0.66,0.66,-,-,44,(45),44 ,44 ,-,-,,
methoxymethane,115-10-6,46.042,0.83,(1.00),0.21,0.16,0.44,(2.38),638,(644),859 ,700 ,159 ,(262),,
methoxyethene,107-25-5,58.042,3.63,(4.39),0.10,0.04,0.13,-,24,(26),6 ,2 ,4 ,-,,
methoxyethane,540-67-0,60.058,1.42,(2.19),0.52,0.20,0.61,-,65,(68),33 ,7 ,26 ,-,,
ethenoxyethane,109-92-2,72.058,0.70,(10.42),0.42,0.42,-,-,56,(57),4 ,4 ,-,-,,
ethoxyethane,60-29-7,74.073,1.26,(2.27),0.55,0.57,0.29,(46.43),558,(580),431 ,396 ,35 ,(1229),,
2-methoxypropane,598-53-8,74.073,1.07,-,0.75,0.75,-,-,27,-,9 ,9 ,-,-,,
1-methoxypropane,557-17-5,74.073,1.25,-,0.54,0.54,-,-,60,-,11 ,11 ,-,-,,
dimethoxymethane,109-87-5,76.052,1.50,(1.58),0.33,0.24,0.54,-,198,(199),147 ,102 ,45 ,-,,
1-methoxybutane,628-28-4,88.089,1.67,-,0.30,0.30,-,-,102,-,140 ,140 ,-,-,,
1-ethoxypropane,628-32-0,88.089,1.19,(1.35),0.93,0.67,1.21,-,147,(149),23 ,12 ,11 ,-,,
2-methoxy-2-methylpropane,1634-04-4,88.089,0.70,(0.72),0.53,0.54,0.05,-,694,(695),982 ,950 ,32 ,-,,
"1,1-dimethoxyethane",534-15-6,90.068,0.99,(9.53),0.20,0.20,-,-,103,(104),30 ,30 ,-,-,,
"1,2-dimethoxyethane",110-71-4,90.068,1.96,(2.72),0.28,0.28,-,-,156,(166),391 ,391 ,-,-,,
1-ethenoxybutane,111-34-2,100.089,0.70,-,0.30,0.30,-,-,31,-,18 ,18 ,-,-,,
"2,5-dimethyloxolane",1003-38-9,100.089,2.64,-,0.12,0.12,-,-,24,-,16 ,16 ,-,-,,
2-ethoxy-2-methylpropane,637-92-3,102.104,0.83,(1.53),0.55,0.55,-,-,639,(661),569 ,569 ,-,-,,
2-methoxy-2-methylbutane,994-05-8,102.104,1.00,(1.22),0.79,0.80,0.03,-,330,(332),271 ,268 ,3 ,-,,
1-methoxypentane,628-80-8,102.104,1.63,-,0.23,0.23,-,-,9,-,12 ,12 ,-,-,,
1-ethoxybutane,628-81-9,102.104,2.61,-,0.32,0.32,-,-,92,-,150 ,150 ,-,-,,
1-propoxypropane,111-43-3,102.104,0.85,(1.64),0.79,0.81,0.06,-,273,(274),239 ,231 ,8 ,-,,
2-propan-2-yloxypropane,108-20-3,102.104,0.74,-,0.54,0.54,-,-,445,-,1134 ,1134 ,-,-,,
ethoxymethoxyethane,462-95-3,104.084,0.59,(0.93),0.11,0.11,-,(7.89),49,(50),36 ,36 ,-,(1),,
anisole,100-66-3,108.058,1.33,(3.54),0.32,0.32,-,-,242,(253),433 ,433 ,-,-,,
2-ethoxy-2-methylbutane,919-94-8,116.120,0.94,(1.06),0.29,0.31,0.01,-,158,(159),18 ,17 ,1 ,-,,
"1,1-diethoxyethane",105-57-7,118.099,2.39,(4.42),0.12,0.12,-,-,88,(97),33 ,33 ,-,-,,
"1,2-diethoxyethane",629-14-1,118.099,4.49,(14.49),0.64,0.64,-,-,32,(41),48 ,48 ,-,-,,
"1,3-dihydro-2-benzofuran",496-14-0,120.058,0.55,(2.34),0.46,0.62,0.18,-,77,(81),17 ,11 ,6 ,-,,
ethoxybenzene,103-73-1,122.073,1.27,-,0.95,0.96,0.01,-,80,-,79 ,78 ,1 ,-,,
2-methyl-1-(2-methylpropoxy)propane,628-55-7,130.136,0.63,-,0.23,0.23,-,(37.57),42,-,24 ,24 ,-,(28),,
2-methyl-2-[(2-methylpropan-2-yl)oxy]propane,6163-66-2,130.136,1.71,(1.84),0.19,0.19,-,-,101,(102),12 ,12 ,-,-,,
1-butoxybutane,142-96-1,130.136,1.86,(5.54),0.46,0.46,-,-,272,(295),542 ,542 ,-,-,,
2-butan-2-yloxybutane,6863-58-7,130.136,0.99,-,0.02,0.02,-,-,28,-,4 ,4 ,-,-,,
2-methyl-1-[(2-methylpropan-2-yl)oxy]propane,33021-02-2,130.136,2.78,-,0.15,0.15,-,-,74,-,8 ,8 ,-,-,,
"2,4,6-trimethyl-1,3,5-trioxane",123-63-7,132.079,2.07,(2.26),0.29,0.30,0.00,-,43,(44),41 ,40 ,1 ,-,,
1-methoxy-2-(2-methoxyethoxy)ethane,111-96-6,134.094,2.22,(4.89),0.37,0.37,-,-,45,(52),515 ,515 ,-,-,,
ethoxymethylbenzene,539-30-0,136.089,2.24,(3.79),0.17,0.17,-,-,41,(44),4 ,4 ,-,-,,
1-methoxy-4-[(e)-prop-1-enyl]benzene,104-46-1,148.089,5.53,(8.22),0.33,0.33,-,-,10,(11),29 ,29 ,-,-,,
diethoxymethoxyethane,122-51-0,148.110,5.57,(6.88),0.92,0.92,-,-,71,(75),51 ,51 ,-,-,,
2-(phenoxymethyl)oxirane,122-60-1,150.068,13.04,(64.60),1.10,1.10,-,-,66,(83),14 ,14 ,-,-,,
1-pentoxypentane,693-65-2,158.167,1.87,-,0.80,0.80,-,-,15,-,231 ,231 ,-,-,,
1-ethoxy-2-(2-ethoxyethoxy)ethane,112-36-7,162.126,5.25,(6.24),0.42,0.42,-,-,46,(50),269 ,269 ,-,-,,
phenoxybenzene,101-84-8,170.073,2.66,(4.40),1.01,1.15,0.37,-,207,(235),149 ,124 ,25 ,-,,
1-methoxy-2-[2-(2-methoxyethoxy)ethoxy]ethane,112-49-2,178.121,10.98,(17.22),1.46,1.46,-,-,25,(27),507 ,507 ,-,-,,
phenylmethoxymethylbenzene,103-50-4,198.104,11.51,(19.39),1.28,1.28,-,-,11,(12),11 ,11 ,-,-,,
1-[2-(2-butoxyethoxy)ethoxy]butane,112-73-2,218.188,6.45,(13.65),1.19,1.19,-,-,13,(17),137 ,137 ,-,-,,
1-methoxy-2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethane,143-24-8,222.147,3.65,(12.37),3.66,3.66,-,-,22,(28),680 ,680 ,-,-,,
1-methoxy-2-[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethoxy]ethane,1191-87-3,266.173,5.48,(26.47),0.81,0.81,-,-,5,(7),31 ,31 ,-,-,,
fluoromethane,593-53-3,34.022,2.74,(2.82),1.41,1.47,0.41,(36.23),466,(469),312 ,296 ,16 ,(70),,
fluoroethane,353-36-6,48.038,0.88,-,0.54,0.28,0.74,(2.54),351,-,164 ,72 ,92 ,(298),,
difluoromethane,75-10-5,52.012,0.34,(0.35),0.49,0.50,0.28,(6.76),1055,(1056),2407 ,2271 ,136 ,(2007),,
"1,1-difluoroethene",75-38-7,64.012,0.49,-,0.57,0.69,0.33,(0.60),39,-,15 ,10 ,5 ,(196),,
"1,1-difluoroethane",75-37-6,66.028,0.54,(0.77),0.71,0.70,0.80,(14.57),1044,(1056),2185 ,2034 ,151 ,(898),,
fluoroform,75-46-7,70.003,0.59,(0.68),0.36,0.35,0.40,(9.77),522,(526),319 ,265 ,54 ,(683),,
"1,1,2-trifluoroethane",430-66-0,84.019,0.57,-,0.10,0.11,0.09,-,35,-,205 ,171 ,34 ,-,,
"1,1,1-trifluoroethane",420-46-2,84.019,0.28,-,0.39,0.38,0.61,(2.89),863,-,1628 ,1540 ,88 ,(1472),,
tetrafluoromethane,75-73-0,87.994,1.17,(3.64),0.45,0.52,0.30,(1.31),322,(358),215 ,151 ,64 ,(836),,
"3,3,3-trifluoroprop-1-ene",677-21-4,96.019,0.84,(1.41),0.44,0.44,-,(1.08),361,(374),329 ,329 ,-,(268),,
fluorobenzene,462-06-6,96.038,0.91,(1.75),0.52,0.53,0.12,(33.22),279,(280),181 ,176 ,5 ,(194),,
"1,1,2,2-tetrafluoroethene",116-14-3,99.994,1.16,(2.13),0.66,0.85,0.07,-,82,(87),4 ,3 ,1 ,-,,
"1,1,1,2-tetrafluoroethane",811-97-2,102.009,0.48,(0.51),0.26,0.26,0.11,(5.58),1322,(1325),10231 ,10081 ,150 ,(1598),,
"1,1,2,2-tetrafluoroethane",359-35-3,102.009,0.73,(3.52),8.08,10.99,0.59,(3.92),136,(144),136 ,98 ,38 ,(18),,
"2,3,3,3-tetrafluoroprop-1-ene",754-12-1,114.009,0.23,-,0.19,0.19,0.51,(1.74),544,-,12068 ,12020 ,48 ,(739),,
"(e)-1,3,3,3-tetrafluoroprop-1-ene",29118-24-9,114.009,0.44,-,0.34,0.38,0.13,(1.38),633,-,791 ,664 ,127 ,(754),,
"1,3-difluorobenzene",372-18-9,114.028,1.13,-,1.07,1.07,-,-,18,-,20 ,20 ,-,-,,
"1,2-difluorobenzene",367-11-3,114.028,1.23,-,0.34,0.34,-,-,44,-,11 ,11 ,-,-,,
"1,4-difluorobenzene",540-36-3,114.028,0.25,-,0.83,0.83,-,-,27,-,34 ,34 ,-,-,,
"1,1,1,2,2-pentafluoroethane",354-33-6,120.000,0.35,(0.36),0.38,0.39,0.21,(2.76),1038,(1039),926 ,835 ,91 ,(1140),,
"1,1,1,3,3-pentafluoropropane",460-73-1,134.015,0.54,(0.60),0.23,0.23,0.30,(1.10),642,(644),1191 ,1137 ,54 ,(76),,
"1,1,2,2,3-pentafluoropropane",679-86-7,134.015,0.60,-,0.80,0.60,0.91,-,133,-,41 ,14 ,27 ,-,,
"1,1,1,2,2-pentafluoropropane",1814-88-6,134.015,0.64,-,0.16,0.16,0.20,(1.25),152,-,881 ,854 ,27 ,(119),,
"1,1,1,2,2,2-hexafluoroethane",76-16-4,137.990,0.56,-,0.54,0.17,0.66,(3.79),174,-,29 ,7 ,22 ,(123),,
trifluoromethylbenzene,98-08-8,146.034,1.65,(7.09),3.16,3.98,1.87,-,132,(135),31 ,19 ,12 ,-,,
"1,1,1,3,3-pentafluorobutane",406-58-6,148.031,2.13,-,1.72,1.87,0.17,-,171,-,757 ,691 ,66 ,-,,
"1,1,2,3,3,3-hexafluoroprop-1-ene",116-15-4,149.990,1.49,(1.57),0.20,0.20,0.03,(3.75),201,(202),842 ,838 ,4 ,(1964),,
"1,1,1,3,3,3-hexafluoropropane",690-39-1,152.006,0.38,-,0.62,0.70,0.49,(0.54),505,-,164 ,104 ,60 ,(158),,
"1,1,1,2,3,3-hexafluoropropane",431-63-0,152.006,0.51,(0.55),1.20,1.19,1.35,(2.39),460,(461),396 ,378 ,18 ,(140),,
